Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,VideoLink,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
27-441CISI,G,RBC,0.31,G,VS2,EX,VG,VG,N,N,4.41*4.4*2.62,No,Borderline,GIA,6412826814,,,1496.000,-32.000,1496.000,-32.000,59.50,60.00,,,3.50,Faceted,NONE,,13.00,33.00,43.00,40.80,GIA 6412826814,,"Twinning Wisp, Crystal, Feather","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6412826814&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-441,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-441,,,,,,,,1,
43-1040SCI,G,RBC,0.30,H,SI1,EX,EX,VG,N,N,4.29*4.26*2.7,No,Borderline,GIA,2417853310,,,1349.000,-29.000,1349.000,-29.000,63.20,56.00,,,3.50,Faceted,NONE,,16.00,36.00,43.50,41.20,GIA 2417853310,,"Cloud, Crystal, Feather, Indented Natural","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2417853310&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-043-1040,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-043-1040,,,,,,,,1,
21-376CSI,G,RBC,0.35,H,SI1,EX,EX,EX,N,N,4.51*4.47*2.8,No,E1,GIA,6415836672,,,1425.000,-25.000,1425.000,-25.000,62.40,57.00,,,3.50,Faceted,NONE,,16.00,36.50,43.00,41.00,GIA 6415836672,,"Cloud, Crystal","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6415836672&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-021-376,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-021-376,,,,,,,,1,
20-1620SI,G,RBC,0.30,G,SI1,EX,EX,EX,N,N,4.3*4.27*2.65,No,Borderline,GIA,3415827207,,,1440.000,-28.000,1440.000,-28.000,61.80,57.00,,,3.50,Faceted,NONE,,15.50,35.50,43.00,40.60,GIA 3415827207,,"Feather, Twinning Wisp, Cloud","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3415827207&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-1620,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-1620,,,,,,,,1,
33-678SI,G,RBC,0.30,H,SI2,EX,EX,VG,N,N,4.33*4.32*2.62,No,E1,GIA,2414852779,,,1120.000,-30.000,1120.000,-30.000,60.70,57.00,,,3.50,Faceted,VERY SMALL,,14.50,34.00,42.50,40.60,GIA 2414852779,,"Crystal, Feather","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2414852779&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-033-678,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-033-678,,,,,,,,1,
20-1867CS,G,RBC,0.30,F,SI2,EX,VG,EX,N,N,4.3*4.27*2.68,No,E1,GIA,1413828022,,,1152.000,-36.000,1152.000,-36.000,62.60,56.00,,,3.50,Faceted,NONE,,16.00,35.50,43.50,41.00,GIA 1413828022,,Twinning Wisp,"NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1413828022&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-1867,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-1867,,,,,,,,1,
5-901K,G,RBC,0.33,D,VVS1,EX,EX,EX,S,B,4.44*4.42*2.79,No,YES,GIA,2414836552,,,1705.000,-45.000,1705.000,-45.000,62.90,57.00,,,4.00,Faceted,NONE,,15.00,35.00,44.00,41.40,GIA 2414836552,,Feather,"NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2414836552&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-005-901,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-005-901,,,,,,,,1,
20-293SI,G,RBC,0.30,E,SI1,EX,VG,VG,F,N,4.39*4.34*2.57,No,Borderline,GIA,2414826394,,,1364.000,-38.000,1364.000,-38.000,59.00,61.00,,,4.00,Faceted,VERY SMALL,,12.50,32.50,43.00,40.80,GIA 2414826394,,Feather,"NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2414826394&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-293,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-020-293,,,,,,,,1,
27-438CSI,G,RBC,0.29,E,VS2,EX,EX,EX,N,N,4.33*4.3*2.6,No,Borderline,GIA,5416849902,,,1669.500,5.000,1669.500,5.000,60.20,60.00,,,4.00,Faceted,VERY SMALL,,13.50,34.00,43.00,40.80,GIA 5416849902,,"Crystal, Feather, Needle","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5416849902&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-438,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-438,,,,,,,,1,
18-1003K,G,RBC,0.30,J,SI1,EX,VG,VG,F,N,4.31*4.27*2.68,No,YES,GIA,2416843293,,,1035.000,-31.000,1035.000,-31.000,62.60,56.00,,,3.50,Faceted,NONE,,16.00,35.50,43.50,41.20,GIA 2416843293,,"Feather, Crystal","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2416843293&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-018-1003,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-018-1003,,,,,,,,1,
27-602K,G,RBC,0.30,F,VS1,EX,EX,VG,N,N,4.34*4.3*2.6,No,YES,GIA,1415849858,,,1584.000,-34.000,1584.000,-34.000,60.10,60.00,,,4.00,Faceted,VERY SMALL,,13.50,34.50,42.50,40.80,GIA 1415849858,,Indented Natural,"NO BGM,NO BLACK",55,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1415849858&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-602,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-602,,,,,,,,1,
27-434SI,G,RBC,0.43,H,VS1,EX,EX,EX,N,N,4.82*4.79*3,No,YES,GIA,6415827973,,,2133.000,-21.000,2133.000,-21.000,62.40,58.00,,,4.00,Faceted,NONE,,15.50,36.00,43.00,40.80,GIA 6415827973,,"Cloud, Crystal, Needle","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6415827973&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-434,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=22-027-434,,,,,,,,1,
20-394CSI,G,EM,1.71,H,SI2,,VG,VG,M,B,7.39*5.64*4.25,No,E1,GIA,1377208009,,,3552.000,-52.000,3552.000,-52.000,75.30,64.00,,,,,NONE,,,,,,GIA 1377208009 ,Additional clouds are not shown. Pinpoints are not shown.,"Crystal, Feather, Cloud, Cavity, Needle, Natural","NO BGM,TABLE MEDIUM BLACK,SIDE SMALL BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1377208009&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-020-394,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-020-394,,,,,,,,1,
82-1S,G,PR,3.01,I,SI1,,EX,EX,S,B,7.53*7.46*5.93,No,Borderline,GIA,6375217590,,,7000.000,-50.000,7000.000,-50.000,79.40,71.00,,,,,NONE,,,,,,GIA 6375217590 ,Pinpoints are not shown.,"Crystal, Feather, Cavity, Needle, Natural","NO BGM,SIDE SMALL BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6375217590&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-082-1,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-082-1,,,,,,,,1,
14-82SCI,G,TR,0.76,E,SI2,,EX,VG,S,B,6.89*7.62*2.30,No,E1,GIA,3375133605,,,1530.000,-55.000,1530.000,-55.000,30.20,61.00,,,,Faceted,NONE,,,,,,GIA 3375133605 ,,"Twinning Wisp, Feather","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3375133605&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-014-82,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-014-82,,,,,,,,1,
13-216C,G,RBC,0.55,G,SI1,EX,EX,EX,N,N,5.33*5.29*3.22,No,Borderline,GIA,7361937322,,,2584.000,-24.000,2584.000,-24.000,60.60,56.00,,,3.50,Faceted,NONE,,14.00,32.00,43.00,41.00,GIA 7361937322 ,,"Crystal, Cloud, Etch Channel","NO BGM,TABLE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7361937322&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-13-216,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-13-216,,,,,,,,1,
25-498CSI,G,RBC,0.33,D,SI1,EX,EX,EX,F,N,4.48*4.45*2.78,No,E1,GIA,2364976060,,,1472.000,-36.000,1472.000,-36.000,62.30,55.00,,,3.50,Faceted,NONE,,15.50,34.00,43.50,41.00,GIA 2364976060 ,,"Crystal, Feather","NO BGM,TABLE MEDIUM BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2364976060&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-25-498,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-25-498,,,,,,,,1,
32-1364CISI,G,RBC,0.37,G,SI2,EX,EX,VG,F,N,4.63*4.58*2.84,No,E1,GIA,2367986565,,,1122.000,-34.000,1122.000,-34.000,61.70,59.00,,,4.00,Faceted,NONE,,14.50,35.50,43.00,40.80,GIA 2367986565 ,,"Cloud, Feather, Crystal","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2367986565&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-32-1364,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-32-1364,,,,,,,,1,
26-1614SC,G,RBC,0.41,D,SI2,EX,EX,EX,N,N,4.76*4.74*2.96,No,E1,GIA,2364986672,,,1633.000,-29.000,1633.000,-29.000,62.20,58.00,,,4.00,Faceted,NONE,,15.00,35.50,43.00,41.00,GIA 2364986672 ,,"Crystal, Feather","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2364986672&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-026-1614,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-026-1614,,,,,,,,1,
11-1657K,G,CU,0.90,F,SI1,,EX,VG,S,B,5.64*5.16*3.57,No,Borderline,GIA,5366995761,,,2304.000,-52.000,2304.000,-52.000,69.20,63.00,,,,Faceted,NONE,,,,,,GIA 5366995761 ,,"Feather, Indented Natural","NO BGM,NO BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5366995761&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-011-1657,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-011-1657,,,,,,,,1,
54-412SC,G,RBC,0.30,D,SI2,VG,VG,VG,F,N,4.25*4.21*2.63,No,E1,GIA,2377054309,,,1200.000,-40.000,1200.000,-40.000,62.10,60.00,,,5.00,Faceted,NONE,,14.50,36.50,42.50,40.40,GIA 2377054309 ,,"Twinning Wisp, Crystal","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2377054309&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-054-412,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-054-412,,,,,,,,1,
53-631K,G,RBC,0.40,G,VVS1,EX,EX,EX,VS,B,4.71*4.67*2.97,No,YES,GIA,1375054357,,,1705.000,-45.000,1705.000,-45.000,63.30,56.00,,,3.50,Faceted,NONE,,16.00,36.00,43.50,41.20,GIA 1375054357 ,,"Pinpoint, Feather, Indented Natural","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1375054357&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-053-631,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-053-631,,,,,,,,1,
32-8080CIS,G,CU,0.96,D,SI1,,VG,VG,S,B,5.83*5.39*3.69,No,Borderline,GIA,2374049228,,,2600.000,-50.000,2600.000,-50.000,68.40,57.00,,,,Faceted,NONE,,,,,,GIA 2374049228 ,,"Crystal, Cloud, Feather, Knot","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2374049228&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-032-8080,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=20-032-8080,,,,,,,,1,
32-670SC,G,RBC,0.30,E,SI2,EX,EX,EX,N,N,4.30*4.28*2.67,No,E1,GIA,3375110420,,,1311.000,-31.000,1311.000,-31.000,62.30,56.00,,,3.50,Faceted,NONE,,15.50,35.50,43.50,41.00,GIA 3375110420 ,,"Twinning Wisp, Feather","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3375110420&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-032-670,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-032-670,,,,,,,,1,
43-1C,G,RBC,0.33,D,SI1,EX,EX,EX,F,N,4.44*4.42*2.72,No,Borderline,GIA,2377109199,,,1472.000,-36.000,1472.000,-36.000,61.30,62.00,,,4.00,Faceted,NONE,,13.00,34.00,44.00,41.60,GIA 2377109199 ,,Crystal,"NO BGM,TABLE SMALL BLACK",45,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2377109199&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-43-1,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-43-1,,,,,,,,1,
21-588SC,G,RBC,1.05,D,SI2,EX,VG,VG,S,B,6.53*6.49*4.11,No,E1,GIA,1378108179,,,4081.000,-47.000,4081.000,-47.000,63.10,55.00,,,3.00,Faceted,NONE,,16.50,36.00,43.50,41.20,GIA 1378108179 ,"Additional clouds, pinpoints and surface graining are not shown.","Crystal, Feather, Cavity, Cloud, Etch Channel, Needle, Indented Natural","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1378108179&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-021-588,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-021-588,,,,,,,,1,
8-149SC,G,EM,1.00,G,SI2,,VG,VG,S,B,6.70*4.46*3.47,No,E1,GIA,5376110344,,,1920.000,-60.000,1920.000,-60.000,77.90,58.00,,,,,NONE,,,,,,GIA 5376110344 ,"Additional clouds, pinpoints and surface graining are not shown.","Cloud, Crystal, Cavity, Needle, Natural","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5376110344&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-008-149,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-008-149,,,,,,,,1,
68-1404K,G,RBC,0.32,E,SI1,EX,EX,EX,N,N,4.45*4.42*2.68,No,E1,GIA,5376180325,,,1518.000,-31.000,1518.000,-31.000,60.50,62.00,,,4.00,Faceted,NONE,,13.00,34.50,43.50,41.20,GIA 5376180325 ,,"Cloud, Cavity","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5376180325&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-068-1404,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-068-1404,,,,,,,,1,
19-151CISI,G,CU,1.00,E,SI1,,VG,G,S,B,5.76*5.64*3.53,No,Borderline,GIA,6375176225,,,2480.000,-60.000,2480.000,-60.000,62.50,57.00,,,,Faceted,NONE,,,,,,GIA 6375176225 ,"Additional twinning wisps, clouds, pinpoints and surface graining are not shown.","Twinning Wisp, Crystal, Feather, Cavity, Needle, Natural","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6375176225&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-019-151,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-019-151,,,,,,,,1,
96-1170CISI,G,RBC,0.30,D,SI2,EX,EX,EX,N,N,4.37*4.34*2.64,No,Borderline,GIA,7376215407,,,1320.000,-34.000,1320.000,-34.000,60.50,58.00,,,3.50,Faceted,NONE,,13.50,33.00,43.50,41.00,GIA 7376215407 ,,"Cloud, Feather, Crystal","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7376215407&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-96-1170,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-96-1170,,,,,,,,1,
101-546CS,G,RBC,0.53,E,SI1,EX,EX,EX,F,N,5.23*5.20*3.25,No,Borderline,GIA,5373390081,,,2556.000,-29.000,2556.000,-29.000,62.30,56.00,,,3.00,Faceted,NONE,,16.00,36.00,43.00,40.80,GIA 5373390081 ,,Crystal,"NO BGM,TABLE MEDIUM BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5373390081&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-101-546,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-101-546,,,,,,,,1,
98-50C,G,PR,1.00,J,SI1,,EX,VG,F,N,5.86*5.54*4.01,No,Borderline,GIA,7372382792,,,2072.000,-44.000,2072.000,-44.000,72.30,83.00,,,,,NONE,,,,,,GIA 7372382792 ,"Additional clouds, pinpoints and surface graining are not shown.","Crystal, Cloud, Feather, Needle, Natural","NO BGM,TABLE MEDIUM BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7372382792&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-098-50,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-098-50,,,,,,,,1,
109-1666CISI,G,RBC,0.32,D,SI2,EX,EX,EX,F,N,4.41*4.40*2.73,No,YES,GIA,6375410776,,,1260.000,-37.000,1260.000,-37.000,61.90,56.00,,,3.50,Faceted,NONE,,16.00,36.00,42.50,40.60,GIA 6375410776 ,,"Cloud, Feather, Crystal","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6375410776&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-109-1666,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-109-1666,,,,,,,,1,
108-200K,G,RBC,0.34,J,SI1,EX,EX,EX,F,N,4.46*4.45*2.75,No,YES,GIA,3375411789,,,1050.000,-30.000,1050.000,-30.000,61.80,59.00,,,4.00,Faceted,NONE,,14.50,35.50,43.00,41.00,GIA 3375411789 ,,Cloud,"NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3375411789&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=,,,,,,,,1,
87-587CIS,G,RBC,0.36,D,SI2,EX,VG,EX,M,B,4.54*4.53*2.83,No,Borderline,GIA,6375409899,,,1120.000,-44.000,1120.000,-44.000,62.30,59.00,,,4.00,Faceted,NONE,,14.50,34.50,44.00,41.40,GIA 6375409899 ,,"Crystal, Feather, Cavity","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6375409899&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=,,,,,,,,1,
95-1470SC,G,RBC,0.37,D,SI2,EX,EX,EX,F,N,4.63*4.59*2.88,No,E1,GIA,6375401379,,,1300.000,-35.000,1300.000,-35.000,62.50,57.00,,,3.00,Faceted,NONE,,15.50,36.00,43.50,41.20,GIA 6375401379 ,,"Crystal, Feather, Knot","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6375401379&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=,,,,,,,,1,
102-17K,G,CU,0.50,F,VVS2,,VG,VG,N,N,4.69*4.27*2.83,No,YES,GIA,2377492942,,,1696.000,-47.000,1696.000,-47.000,66.10,65.00,,,,Faceted,NONE,,,,,,GIA 2377492942 ,,"Cloud, Pinpoint, Indented Natural, Feather","NO BGM,NO BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2377492942&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-102-17,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-102-17,,,,,,,,1,
