Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,VideoLink,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
477-822CISI,G,RBC,0.30,D,SI2,VG,VG,VG,N,N,4.37*4.35*2.55,No,Borderline,GIA,2404539144,,,1220.000,-39.000,1220.000,-39.000,58.40,63.00,,,4.00,Faceted,NONE,,11.50,32.00,42.50,40.60,GIA 2404539144,,"Crystal, Feather","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2404539144&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-477-822,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-477-822,,,,,,,,1,
490-752K,G,RBC,0.30,H,VVS1,VG,EX,VG,F,N,4.4*4.36*2.57,No,YES,GIA,6402548843,,,1416.000,-41.000,1416.000,-41.000,58.70,63.00,,,3.50,Faceted,NONE,,12.00,32.50,43.50,41.20,GIA 6402548843,,"Pinpoint, Cavity, Manufacturing Remnant","NO BGM,NO BLACK",55,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6402548843&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-490-752,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-490-752,,,,,,,,1,
493-739K,G,RBC,0.30,E,VVS2,EX,VG,VG,S,B,4.3*4.26*2.67,No,YES,GIA,6401546452,,,1431.000,-47.000,1431.000,-47.000,62.40,56.00,,,4.00,Faceted,NONE,,15.50,35.50,43.00,40.80,GIA 6401546452,,Cavity,"NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6401546452&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-493-739,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-493-739,,,,,,,,1,
495-469SC,G,RBC,0.30,D,SI2,VG,VG,VG,S,B,4.26*4.24*2.68,No,E1,GIA,7406539460,,,1080.000,-46.000,1080.000,-46.000,63.10,59.00,,,5.00,Faceted,NONE,,14.50,35.50,43.50,41.20,GIA 7406539460,,"Twinning Wisp, Feather","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7406539460&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-495-469,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-495-469,,,,,,,,1,
498-43CISI,G,RBC,0.30,D,VS1,EX,VG,VG,S,B,4.35*4.34*2.59,No,YES,GIA,6402538791,,,1431.000,-47.000,1431.000,-47.000,59.50,60.00,,,3.50,Faceted,NONE,,13.00,33.00,43.00,40.80,GIA 6402538791,,"Twinning Wisp, Feather, Knot","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6402538791&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-498-43,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-498-43,,,,,,,,1,
508-245K,G,RBC,0.30,G,VS2,EX,EX,VG,N,N,4.32*4.28*2.6,No,YES,GIA,2406541291,,,1496.000,-32.000,1496.000,-32.000,60.50,60.00,,,4.00,Faceted,NONE,,13.50,34.50,43.00,40.80,GIA 2406541291,,Cloud,"NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2406541291&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-508-245,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-508-245,,,,,,,,1,
488-407K,G,RBC,0.31,G,VS2,EX,VG,EX,F,N,4.41*4.38*2.64,No,YES,GIA,5406539329,,,1474.000,-33.000,1474.000,-33.000,60.20,59.00,,,3.50,Faceted,NONE,,13.50,33.50,43.00,40.80,GIA 5406539329,,"Twinning Wisp, Feather","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5406539329&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-488-407,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-488-407,,,,,,,,1,
485-475CISI,G,RBC,0.32,H,VS2,EX,EX,EX,N,N,4.41*4.39*2.75,No,Borderline,GIA,2406541492,,,1575.000,-25.000,1575.000,-25.000,62.50,56.00,,,4.00,Faceted,NONE,,15.00,34.00,43.50,41.20,GIA 2406541492,,"Cloud, Crystal, Feather, Needle","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",45,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2406541492&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-485-475,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-485-475,,,,,,,,1,
493-401S,G,RBC,0.32,E,SI1,EX,VG,EX,N,N,4.38*4.35*2.7,No,Borderline,GIA,2407546590,,,1408.000,-36.000,1408.000,-36.000,61.80,56.00,,,4.00,Faceted,NONE,,15.00,35.00,42.50,40.60,GIA 2407546590,,Crystal,"NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2407546590&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-493-401,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-493-401,,,,,,,,1,
515-482CI,G,RBC,0.33,H,VS2,EX,VG,EX,N,N,4.51*4.49*2.72,No,Borderline,GIA,7401537303,,,1470.000,-30.000,1470.000,-30.000,60.50,56.00,,,3.00,Faceted,NONE,,14.50,33.00,43.00,40.80,GIA 7401537303,,"Feather, Twinning Wisp, Cloud, Cavity","NO BGM,TABLE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7401537303&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-515-482,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-515-482,,,,,,,,1,
