Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,VideoLink,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
400-771K,G,R,0.30,E,SI2,VG,VG,VG,M,B,4.33*0.00*2.58,No,E1,GIA,2396466588,,,990.000,-45.000,990.000,-45.000,59.60,60.00,,,4.00,Faceted,NONE,,13.00,33.50,42.50,40.80,GIA 2396466588,,"Crystal, Feather","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2396466588&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/400-771K/400-771K.html,,,,,,,,1,
397-843CI,G,R,0.30,E,SI1,EX,EX,EX,F,N,4.29*0.00*2.66,No,Borderline,GIA,2397466055,,,1323.000,-37.000,1323.000,-37.000,62.00,56.00,,,3.50,Faceted,NONE,,15.50,35.00,43.00,40.80,GIA 2397466055,,"Crystal, Feather","NO BGM,TABLE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2397466055&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-843CI/397-843CI.html,,,,,,,,1,
397-846CIS,G,R,0.30,E,SI1,EX,EX,VG,M,B,4.27*0.00*2.68,No,Borderline,GIA,6395466792,,,1176.000,-44.000,1176.000,-44.000,62.70,56.00,,,3.50,Faceted,NONE,,15.50,35.50,43.50,41.20,GIA 6395466792,,"Twinning Wisp, Crystal","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6395466792&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-846CIS/397-846CIS.html,,,,,,,,1,
400-1204SI,G,R,0.30,F,SI2,EX,VG,VG,N,N,4.27*0.00*2.65,No,Borderline,GIA,5393466416,,,1071.000,-37.000,1071.000,-37.000,62.10,56.00,,,4.00,Faceted,NONE,,15.50,35.00,43.00,40.80,GIA 5393466416,,Feather,"NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5393466416&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/400-1204SI/400-1204SI.html,,,,,,,,1,
400-1451K,G,R,0.30,D,VVS1,VG,EX,VG,N,N,4.22*4.26*2.65,No,YES,GIA,6392466451,,,1590.000,-47.000,1590.000,-47.000,62.50,59.00,,,5.00,Faceted,NONE,,15.00,36.00,42.50,40.60,GIA 6392466451,,"Pinpoint, Chip, Manufacturing Remnant, Indented Natural","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6392466451&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/400-1451K/400-1451K.html,,,,,,,,1,
400-1493CISI,G,R,0.30,D,VS2,VG,EX,VG,N,N,4.33*4.35*2.58,No,Borderline,GIA,2397466575,,,1368.000,-43.000,1368.000,-43.000,59.60,63.00,,,4.00,Faceted,NONE,,12.50,34.00,43.00,40.80,GIA 2397466575,,"Crystal, Feather, Cavity, Indented Natural","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2397466575&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/400-1493CISI/400-1493CISI.html,,,,,,,,1,
397-772C,G,R,0.30,E,SI2,VG,VG,G,F,N,4.28*0.00*2.64,No,E1,GIA,6392466867,,,1044.000,-42.000,1044.000,-42.000,61.70,58.00,,,4.00,Faceted,NONE,,15.00,35.50,42.50,40.60,GIA 6392466867,,"Crystal, Feather, Cavity","NO BGM,TABLE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6392466867&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-772C/397-772C.html,,,,,,,,1,
397-783K,G,R,0.30,H,VS1,VG,EX,VG,S,B,4.27*0.00*2.65,No,YES,GIA,6392467012,,,1260.000,-40.000,1260.000,-40.000,62.10,58.00,,,3.50,Faceted,NONE,,15.50,36.00,43.00,40.80,GIA 6392467012,,"Cloud, Manufacturing Remnant, Indented Natural","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6392467012&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-783K/397-783K.html,,,,,,,,1,
397-831C,G,R,0.30,E,SI1,EX,EX,EX,N,N,4.28*0.00*2.68,No,E1,GIA,6391466558,,,1407.000,-33.000,1407.000,-33.000,62.50,58.00,,,4.00,Faceted,NONE,,15.00,35.00,44.00,41.40,GIA 6391466558,,"Crystal, Feather","NO BGM,TABLE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6391466558&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-831C/397-831C.html,,,,,,,,1,
397-270K,G,R,0.30,F,VS2,EX,VG,VG,N,N,4.26*0.00*2.63,No,YES,GIA,2397464320,,,1386.000,-37.000,1386.000,-37.000,61.50,59.00,,,4.50,Faceted,NONE,,14.50,35.00,42.50,40.60,GIA 2397464320,,"Cloud, Feather, Indented Natural","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2397464320&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-270K/397-270K.html,,,,,,,,1,
