Stock #,Availability,Shape,CARAT,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,NR PPC,NR TOTAL
221-492A,G,RBC,0.30,M,IF,EX,EX,EX,N,N,4.30 - 4.28 * 2.66,GIA,2358098120,,810.000,46.000,840.00,44.000,,,,61.90,60.00,,,4.00,Faceted,NON,,13.50,33.50,44.50,41.80,GIA 2358098120,,MUMBAI,810.000,243.000
237-115A,G,RBC,0.40,E,VVS1,EX,EX,EX,S,B,4.73 - 4.71 * 2.94,GIA,1359056092,,1848.000,44.000,1914.00,42.000,,,,62.20,60.00,,,4.50,Faceted,NON,,13.50,34.00,44.50,41.80,GIA 1359056092,,MUMBAI,1848.000,739.200
225-33A,G,OV,1.23,K,SI2,EX,EX,VG,F,N,8.33 - 6.16 * 3.65,GIA,6352029206,,1716.000,34.000,1768.00,32.000,,,,59.30,58.00,,,,Faceted,NON,,,,,,GIA 6352029206,"Additional twinning wisps, additional clouds, pinpoints, internal graining and surface graining are not shown.",MUMBAI,1716.000,2110.680
228-238A,G,RBC,0.32,J,VS2,EX,EX,EX,F,N,4.37 - 4.33 * 2.75,GIA,6342942521,,900.000,40.000,930.00,38.000,,,,63.20,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.20,GIA 6342942521,,MUMBAI,900.000,288.000
227-89A,G,PB,0.54,E,VVS2,EX,EX,VG,N,N,7.04 - 4.41 * 2.80,GIA,6341813098,,1710.000,43.000,1770.00,41.000,,,,63.60,60.00,,,,Faceted,NON,,,,,,GIA 6341813098,,MUMBAI,1710.000,923.400
222-356A,G,RBC,0.30,L,VS2,EX,EX,EX,F,N,4.29 - 4.27 * 2.68,GIA,1348767065,,804.000,33.000,828.00,31.000,,,,62.60,57.00,,,3.50,Faceted,NON,,15.50,36.00,43.50,41.00,GIA 1348767065,,MUMBAI,804.000,241.200
237-49A,G,RBC,0.50,D,IF,VG,VG,EX,M,B,5.00 - 4.96 * 3.17,GIA,6352121155,,2501.000,59.000,2623.00,57.000,,,,63.80,56.00,,,5.00,Faceted,NON,,17.00,38.00,42.00,40.00,GIA 6352121155,,MUMBAI,2501.000,1250.500
222-15A,G,RBC,0.40,J,VS1,G,EX,VG,F,N,4.64 - 4.59 * 2.97,GIA,6342766986,,1026.000,43.000,1062.00,41.000,,,,64.30,56.00,,,5.00,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 6342766986,,MUMBAI,1026.000,410.400
221-479A,G,RBC,0.50,O,SI2,VG,EX,VG,N,N,5.00 - 4.97 * 3.16,GIA,6351143304,,689.000,47.000,715.00,45.000,,,,63.30,55.00,,,5.00,Faceted,NON,,17.00,36.50,41.50,39.80,GIA 6351143304,,MUMBAI,689.000,344.500
235-127A,G,RBC,0.50,K,SI1,G,EX,VG,S,B,4.93 - 4.87 * 3.20,GIA,2358143776,,817.000,57.000,855.00,55.000,,,,65.30,62.00,,,5.50,Faceted,NON,,15.00,37.50,45.00,42.00,GIA 2358143776,,MUMBAI,817.000,408.500
227-11A,G,OV,1.20,H,SI2,VG,EX,EX,N,N,7.95 - 6.08 * 3.90,GIA,6345762870,,2709.000,37.000,2795.00,35.000,,,,64.10,60.00,,,,Faceted,NON,,,,,,GIA 6345762870,,MUMBAI,2709.000,3250.800
221-324A,G,RBC,0.50,M,SI1,G,EX,VG,N,N,4.89 - 4.85 * 3.22,GIA,7342783005,,784.000,44.000,812.00,42.000,,,,66.00,54.00,,,6.00,Faceted,NON,,18.50,38.50,41.50,39.80,GIA 7342783005,,MUMBAI,784.000,392.000
221-345A,G,RBC,0.40,L,VVS2,EX,EX,EX,N,N,4.70 - 4.67 * 2.97,GIA,6342766065,,1035.000,31.000,1065.00,29.000,,,,63.40,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.20,GIA 6342766065,,MUMBAI,1035.000,414.000
215-574A,G,RBC,1.00,G,SI2,EX,EX,VG,N,N,6.32 - 6.37 * 4.01,IGI,400929849,,1904.000,66.000,2016.00,64.000,,,,63.00,55.50,,,4.30,Faceted,Pointed,,15.00,33.90,44.00,41.30,,N/A,MUMBAI,1904.000,1904.000
225-11A,G,OV,1.20,N,SI1,G,EX,G,F,N,8.46 - 5.65 * 3.72,GIA,2357012663,,940.000,53.000,980.00,51.000,,,,65.80,65.00,,,,Faceted,NON,,,,,,GIA 2357012663,,MUMBAI,940.000,1128.000
212-56A,G,RBC,0.98,E,SI2,EX,EX,EX,N,N,6.36 - 6.31 * 3.92,GIA,6355096143,,3200.000,36.000,3300.00,34.000,,,,61.90,61.00,,,4.00,Faceted,NON,,13.50,35.00,44.00,41.40,GIA 6355096143,"Additional clouds, pinpoints and surface graining are not shown.",MUMBAI,3200.000,3136.000
240-904A,G,RBC,0.21,E,VS2,EX,EX,EX,F,N,3.81 - 3.79 * 2.38,GIA,6351230218,,1196.000,-4.000,1219.00,-6.000,,,,62.50,58.00,,,3.50,Faceted,NON,,15.50,36.00,43.50,41.20,GIA 6351230218 ,,MUMBAI,1196.000,251.160
222-249A,G,RBC,0.50,J,SI2,EX,EX,VG,F,N,5.08 - 5.04 * 3.14,GIA,6345852568,,1200.000,40.000,1240.00,38.000,,,,62.00,57.00,,,4.00,Faceted,NON,,15.00,35.00,43.00,40.60,GIA 6345852568,,MUMBAI,1200.000,600.000
237-25A,G,RBC,0.35,E,VS2,EX,EX,EX,F,N,4.53 - 4.51 * 2.82,GIA,2358204309,,1428.000,32.000,1470.00,30.000,,,,62.30,57.00,,,4.00,Faceted,NON,,15.00,35.50,43.00,41.00,GIA 2358204309,,MUMBAI,1428.000,499.800
231-57A,G,RBC,0.31,H,VS1,EX,EX,EX,F,N,4.34 - 4.31 * 2.72,GIA,6352056043,,1216.000,36.000,1254.00,34.000,,,,62.90,57.00,,,3.50,Faceted,NON,,15.50,36.00,44.00,41.40,GIA 6352056043,,MUMBAI,1216.000,376.960
209-228A,G,CU,1.50,FIY,I1,EX,EX,VG,N,N,6.52 - 6.09 * 4.20,GIA,1348515988,,2502.000,-39.000,2538.00,-41.000,FIY,,,69.00,59.00,,,,Faceted,NON,,,,,,GIA 1348515988,"Additional clouds, pinpoints and surface graining are not shown.",MUMBAI,2502.000,3753.000
221-195A,G,RBC,0.40,H,VS1,VG,EX,VG,F,N,4.65 - 4.61 * 2.96,GIA,2348753212,,1320.000,40.000,1364.00,38.000,,,,64.00,57.00,,,5.50,Faceted,NON,,15.00,34.50,44.00,41.40,GIA 2348753212,,MUMBAI,1320.000,528.000
