Stock #,Availability,Shape,CARAT,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,NR PPC,NR TOTAL
241-27A,G,RBC,0.80,L,VVS2,VG,EX,VG,F,N,5.83 - 5.78 * 3.71,GIA,1353098228,,1488.000,38.000,1536.00,36.000,,,,63.90,56.00,,,5.00,Faceted,NON,,17.00,38.00,41.50,39.80,GIA 1353098228,,MUMBAI,1488.000,1190.400
214-93A,G,RBC,1.01,G,SI2,EX,EX,EX,N,N,6.38 - 6.41 * 3.99,IGI,400929854,,2744.000,51.000,2856.00,49.000,,,,62.40,56.00,,,3.90,Faceted,Pointed,,15.50,35.50,43.00,40.60,,IDEAL CUT ROUND BRILLIANT,MUMBAI,2744.000,2771.440
208-61A,G,OV,1.19,G,SI2,VG,VG,,N,N,8.21 - 5.95 * 3.69,IGI,407973583,,4500.000,0.000,4590.00,-2.000,,,,62.00,56.50,,,3.80,Faceted,Pointed,,17.00,39.10,41.50,38.90,,,MUMBAI,4500.000,5355.000
235-101B,G,RBC,0.50,L,VS2,VG,EX,VG,S,B,5.06 - 5.04 * 3.13,GIA,1353001566,,1020.000,40.000,1054.00,38.000,,,,62.00,60.00,,,5.50,Faceted,NON,,11.50,30.50,45.00,42.00,GIA 1353001566,,MUMBAI,1020.000,510.000
228-94A,G,RBC,0.34,E,VS2,EX,EX,EX,S,B,4.46 - 4.44 * 2.81,GIA,7356041362,,1113.000,47.000,1155.00,45.000,,,,63.10,56.00,,,3.50,Faceted,NON,,16.00,36.50,43.50,41.00,GIA 7356041362,,MUMBAI,1113.000,378.420
221-171A,G,RBC,0.40,K,VVS2,EX,EX,EX,F,N,4.69 - 4.67 * 2.96,GIA,1348828533,,1088.000,36.000,1122.00,34.000,,,,63.30,55.00,,,3.50,Faceted,NON,,17.00,36.50,43.00,40.60,GIA 1348828533,,MUMBAI,1088.000,435.200
222-290A,G,RBC,0.50,N,SI1,G,EX,VG,F,N,4.90 - 4.85 * 3.25,GIA,1355143322,,756.000,46.000,784.00,44.000,,,,66.80,55.00,,,5.50,Faceted,NON,,18.00,38.50,43.00,40.80,GIA 1355143322,,MUMBAI,756.000,378.000
217-88A,G,RBC,1.00,L,SI2,EX,EX,VG,F,N,6.37 - 6.40 * 4.01,IGI,407973576,,1419.000,57.000,1485.00,55.000,,,,62.90,54.50,,,4.10,Faceted,Pointed,,15.00,33.00,44.00,41.40,,,MUMBAI,1419.000,1419.000
221-464A,G,RBC,0.30,I,VS2,EX,EX,VG,N,N,4.28 - 4.25 * 2.69,GIA,2347877945,,1071.000,37.000,1105.00,35.000,,,,62.90,57.00,,,4.00,Faceted,NON,,14.50,34.00,44.00,41.60,GIA 2347877945,,MUMBAI,1071.000,321.300
225-44B,G,RBC,0.40,J,SI2,EX,EX,EX,F,N,4.73 - 4.71 * 2.88,GIA,1349940197,,1035.000,31.000,1065.00,29.000,,,,61.00,60.00,,,4.00,Faceted,NON,,14.00,35.50,43.00,40.80,GIA 1349940197,,MUMBAI,1035.000,414.000
225-84A,G,RBC,0.50,"K,FB",VS2,VG,EX,VG,N,N,5.05 - 5.00 * 3.12,GIA,6351014365,,885.000,41.000,915.00,39.000,"K,FB",,,62.10,59.00,,,5.50,Faceted,NON,,12.50,32.00,44.00,41.40,GIA 6351014365,,MUMBAI,885.000,442.500
225-98D,G,OV,0.30,I,SI1,G,VG,G,N,N,5.28 - 3.62 * 2.33,GIA,6351056146,,891.000,19.000,913.00,17.000,,,,64.30,63.00,,,,Faceted,NON,,,,,,GIA 6351056146,,MUMBAI,891.000,267.300
238-1A,G,RBC,0.31,D,VVS1,EX,EX,EX,N,N,4.34 - 4.31 * 2.69,GIA,1357258855,,1932.000,31.000,1988.00,29.000,,,,62.20,59.00,,,4.00,Faceted,NON,,15.00,36.00,43.00,41.00,GIA 1357258855,,MUMBAI,1932.000,598.920
232-323A,G,RBC,0.30,I,VVS1,EX,EX,EX,F,N,4.30 - 4.28 * 2.71,GIA,7351067987,,1100.000,45.000,1140.00,43.000,,,,63.10,56.00,,,3.50,Faceted,NON,,16.50,36.50,43.50,41.00,GIA 7351067987,,MUMBAI,1100.000,330.000
230-227A,G,RBC,0.19,D,VS1,EX,EX,EX,N,N,3.70 - 3.68 * 2.30,GIA,2346811999,,1334.000,-16.000,1357.00,-18.000,,,,62.30,58.00,,,3.50,Faceted,NON,,14.50,34.50,44.50,41.80,GIA 2346811999,,MUMBAI,1334.000,253.460
222-351A,G,RBC,0.46,I,VVS2,VG,EX,VG,N,N,4.87 - 4.81 * 3.12,GIA,2346827489,,1260.000,40.000,1302.00,38.000,,,,64.40,58.00,,,5.00,Faceted,NON,,15.50,36.50,44.00,41.40,GIA 2346827489,,MUMBAI,1260.000,579.600
236-81A,G,RBC,0.70,M,VS2,VG,EX,VG,M,B,5.67 - 5.61 * 3.55,GIA,1353098119,,1120.000,44.000,1160.00,42.000,,,,62.90,58.00,,,4.00,Faceted,NON,,15.50,36.00,43.50,41.20,GIA 1353098119,,MUMBAI,1120.000,784.000
226-4A,G,OV,1.20,F,VS2,VG,EX,VG,N,N,7.86 - 5.90 * 3.83,GIA,6345787124,,4030.000,35.000,4154.00,33.000,,,,65.00,62.00,,,,Faceted,NON,,,,,,GIA 6345787124,Pinpoints are not shown. Surface graining is not shown.,MUMBAI,4030.000,4836.000
230-2030A,G,RBC,0.20,E,VS1,EX,VG,EX,N,N,3.80 - 3.79 * 2.32,GIA,7353160659,,1253.500,-9.000,1276.50,-11.000,,,,61.10,59.00,,,3.50,Faceted,NON,,13.50,33.00,44.50,41.80,GIA 7353160659,,MUMBAI,1253.500,250.700
208-43A,G,RBC,1.00,G,SI2,EX,EX,EX,N,N,6.30 - 6.35 * 4.01,IGI,395994625,,2072.000,63.000,2184.00,61.000,,,,63.40,56.50,,,4.10,Faceted,Pointed,,16.00,36.30,43.50,41.20,,N/A,MUMBAI,2072.000,2072.000
225-139A,G,RBC,0.46,K,SI2,VG,EX,VG,F,N,4.92 - 4.89 * 3.08,GIA,3355143174,,715.000,45.000,741.00,43.000,,,,62.90,56.00,,,4.00,Faceted,NON,,16.50,36.50,43.00,40.60,GIA 3355143174,,MUMBAI,715.000,328.900
235-64A,G,RBC,0.70,G,VS1,VG,EX,VG,S,B,5.58 - 5.52 * 3.57,GIA,1358040282,,2205.000,51.000,2295.00,49.000,,,,64.20,55.00,,,5.00,Faceted,NON,,16.00,36.00,43.00,40.80,GIA 1358040282,,MUMBAI,2205.000,1543.500
237-114A,G,RBC,0.40,G,VS2,VG,EX,VG,S,B,4.62 - 4.58 * 2.97,GIA,6352203461,,1058.000,54.000,1104.00,52.000,,,,64.50,57.00,,,5.00,Faceted,NON,,16.50,38.00,43.00,40.60,GIA 6352203461,,MUMBAI,1058.000,423.200
228-266A,G,RBC,0.30,I,SI2,G,EX,VG,F,N,4.15 - 4.10 * 2.74,GIA,1348942507,,742.000,47.000,770.00,45.000,,,,66.40,55.00,,,6.00,Faceted,NON,,17.00,37.50,43.00,41.00,GIA 1348942507,,MUMBAI,742.000,222.600
227-68C,G,MQ,0.30,D,SI2,G,EX,VG,N,N,5.91 - 3.51 * 2.36,GIA,6345878077,,765.000,49.000,795.00,47.000,,,,67.10,58.00,,,,Faceted,NON,,,,,,GIA 6345878077,,MUMBAI,765.000,229.500
228-223A,G,OV,0.29,J,VS2,G,VG,VG,N,N,4.94 - 3.76 * 2.42,GIA,3355026959,,545.600,38.000,563.20,36.000,,,,64.40,60.00,,,,Faceted,NON,,,,,,GIA 3355026959,,MUMBAI,545.600,158.220
228-72A,G,RBC,0.32,E,VVS2,EX,EX,EX,F,N,4.39 - 4.38 * 2.74,GIA,6352001499,,1488.000,38.000,1536.00,36.000,,,,62.50,56.00,,,3.50,Faceted,NON,,16.00,35.50,43.50,41.00,GIA 6352001499,,MUMBAI,1488.000,476.160
196-18A,G,CU,1.32,FDBGY,SI2,EX,VG,VG,N,N,6.61 - 6.03 * 4.18,GIA,5323989146,,2375.000,-25.000,2413.00,-27.000,FDBGY,,,69.40,57.00,,,,Faceted,NON,,,,,,GIA 5323989146,Additional clouds are not shown. Surface graining is not shown.,MUMBAI,2375.000,3135.000
228-95A,G,PR,0.30,K,VS2,VG,EX,VG,F,N,3.62 - 3.51 * 2.61,GIA,6342955931,,639.000,29.000,657.00,27.000,,,,74.40,73.00,,,,Faceted,NON,,,,,,GIA 6342955931,,MUMBAI,639.000,191.700
234-337A,G,RBC,0.35,G,VVS2,EX,EX,EX,N,N,4.61 - 4.58 * 2.73,GIA,6345685008,,1785.000,15.000,1827.00,13.000,,,,59.40,61.00,,,3.50,Faceted,NON,,12.50,33.00,43.00,40.80,GIA 6345685008,,MUMBAI,1785.000,624.750
217-76A,G,OV,1.00,"W-X,LB",SI2,VG,EX,VG,N,N,7.51 - 5.63 * 3.45,GIA,5346459280,,855.000,55.000,893.00,53.000,"W-X,LB",,,61.30,57.00,,,,Faceted,NON,,,,,,GIA 5346459280,"Clouds, pinpoints and internal graining are not shown.",MUMBAI,855.000,855.000
231-301A,G,OV,0.30,J,VVS1,EX,EX,VG,N,N,5.17 - 3.71 * 2.35,GIA,1359001749,,756.000,37.000,780.00,35.000,,,,63.30,58.00,,,,Faceted,NON,,,,,,GIA 1359001749,,MUMBAI,756.000,226.800
220-76A,G,CU,0.40,H,SI1,G,EX,VG,N,N,4.05 - 3.95 * 2.85,GIA,6341753165,,750.000,50.000,780.00,48.000,,,,72.20,60.00,,,,Faceted,NON,,,,,,GIA 6341753165,,MUMBAI,750.000,300.000
226-8A,G,RBC,1.30,F,SI1,EX,EX,EX,N,N,7.11 - 7.06 * 4.29,GIA,2356096136,,4891.000,33.000,5037.00,31.000,,,,60.50,60.00,,,3.50,Faceted,NON,,13.00,32.50,44.50,41.80,GIA 2356096136,Clouds are not shown. Pinpoints are not shown.,MUMBAI,4891.000,6358.300
228-221A,G,RBC,0.30,J,VS1,G,EX,G,F,N,4.11 - 4.04 * 2.73,GIA,6355143886,,720.000,55.000,752.00,53.000,,,,67.00,63.00,,,6.50,Faceted,NON,,15.50,40.00,44.50,41.80,GIA 6355143886,,MUMBAI,720.000,216.000
228-12A,G,RBC,0.32,E,SI1,EX,EX,EX,N,N,4.37 - 4.34 * 2.72,GIA,6345890449,,1520.000,20.000,1558.00,18.000,,,,62.50,57.00,,,3.50,Faceted,NON,,16.00,36.50,43.00,40.80,GIA 6345890449,,MUMBAI,1520.000,486.400
227-93B,G,PB,0.31,F,VS1,EX,EX,VG,N,N,5.87 - 3.82 * 2.31,GIA,7346693011,,1216.000,24.000,1248.00,22.000,,,,60.50,58.00,,,,Faceted,NON,,,,,,GIA 7346693011,,MUMBAI,1216.000,376.960
214-12A,G,RBC,1.51,H,SI2,EX,EX,VG,N,N,7.31 - 7.37 * 4.43,IGI,407973593,,3484.000,48.000,3618.00,46.000,,,,60.30,62.00,,,4.50,Faceted,Pointed,,13.50,35.30,42.50,40.50,,,MUMBAI,3484.000,5260.840
235-100B,G,RBC,0.31,K,SI2,EX,EX,EX,S,B,4.43 - 4.40 * 2.67,GIA,6351040251,,616.000,44.000,638.00,42.000,,,,60.40,61.00,,,3.50,Faceted,NON,,12.50,32.50,44.50,41.80,GIA 6351040251,,MUMBAI,616.000,190.960
221-46A,G,RBC,0.30,D,VS2,EX,EX,VG,N,N,4.29 - 4.26 * 2.68,GIA,1345890415,,1364.000,38.000,1408.00,36.000,,,,62.60,56.00,,,3.50,Faceted,NON,,16.00,36.50,43.00,41.00,GIA 1345890415,,MUMBAI,1364.000,409.200
228-187A,G,RBC,0.31,K,SI1,EX,EX,EX,F,N,4.33 - 4.30 * 2.70,GIA,1357097343,,780.000,35.000,804.00,33.000,,,,62.60,58.00,,,4.00,Faceted,NON,,15.00,35.00,44.00,41.40,GIA 1357097343,,MUMBAI,780.000,241.800
229-83A,G,RBC,0.30,E,SI1,VG,VG,VG,F,N,4.21 - 4.17 * 2.68,GIA,1359096636,,969.000,49.000,1007.00,47.000,,,,63.90,55.00,,,5.50,Faceted,NON,,17.00,36.50,41.50,40.00,GIA 1359096636,,MUMBAI,969.000,290.700
220-118A,G,RBC,0.33,E,SI2,EX,EX,EX,M,B,4.42 - 4.40 * 2.75,GIA,2344877771,,928.000,42.000,960.00,40.000,,,,62.40,56.00,,,4.00,Faceted,NON,,15.50,35.50,42.50,40.60,GIA 2344877771,,MUMBAI,928.000,306.240
227-34A,G,PB,1.21,"L,FB",SI2,VG,EX,VG,N,N,9.90 - 5.96 * 3.38,GIA,2346874090,,1178.000,38.000,1216.00,36.000,"L,FB",,,56.80,61.00,,,,Faceted,NON,,,,,,GIA 2346874090,Internal graining is not shown.,MUMBAI,1178.000,1425.380
231-150A,G,RBC,0.40,I,VVS1,EX,EX,EX,N,N,4.70 - 4.68 * 2.96,GIA,1345976785,,1430.000,35.000,1474.00,33.000,,,,63.00,56.00,,,3.50,Faceted,NON,,16.50,36.50,43.00,41.00,GIA 1345976785,,MUMBAI,1430.000,572.000
225-33B,G,MQ,0.50,J,VS2,G,EX,VG,F,N,7.53 - 4.18 * 2.52,GIA,3345911006,,986.000,42.000,1020.00,40.000,,,,60.40,54.00,,,,Faceted,NON,,,,,,GIA 3345911006,,MUMBAI,986.000,493.000
229-181A,G,RBC,0.30,I,SI2,VG,EX,VG,F,N,4.22 - 4.17 * 2.66,GIA,6341955012,,714.000,49.000,742.00,47.000,,,,63.40,58.00,,,5.50,Faceted,NON,,15.00,36.00,43.00,40.80,GIA 6341955012,,MUMBAI,714.000,214.200
231-16A,G,RBC,0.30,L,VS1,EX,EX,EX,F,N,4.27 - 4.25 * 2.67,GIA,2347986171,,806.000,38.000,832.00,36.000,,,,62.70,56.00,,,3.50,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 2347986171,,MUMBAI,806.000,241.800
220-67A,G,RBC,0.33,H,VVS2,EX,EX,EX,N,N,4.42 - 4.40 * 2.77,GIA,1345752577,,1460.000,27.000,1500.00,25.000,,,,62.80,55.00,,,3.50,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 1345752577,,MUMBAI,1460.000,481.800
222-454A,G,PB,0.32,F,SI2,EX,EX,VG,F,N,5.78 - 3.85 * 2.40,GIA,1349953559,,715.000,45.000,741.00,43.000,,,,62.30,61.00,,,,Faceted,NON,,,,,,GIA 1349953559,,MUMBAI,715.000,228.800
222-457B,G,RBC,0.30,E,SI1,EX,EX,VG,F,N,4.31 - 4.27 * 2.64,GIA,2347766321,,1178.000,38.000,1216.00,36.000,,,,61.60,61.00,,,4.50,Faceted,NON,,12.50,32.50,44.50,41.80,GIA 2347766321,,MUMBAI,1178.000,353.400
221-364A,G,RBC,0.40,L,VVS2,EX,EX,EX,F,N,4.73 - 4.69 * 2.95,GIA,2354143358,,765.000,49.000,795.00,47.000,,,,62.70,57.00,,,4.00,Faceted,NON,,15.00,35.00,43.50,41.40,GIA 2354143358,,MUMBAI,765.000,306.000
214-107A,G,RBC,1.00,I,SI2,EX,EX,VG,N,N,6.42 - 6.46 * 3.89,IGI,407901084,,2450.000,50.000,2548.00,48.000,,,,60.40,60.00,,,4.20,Faceted,Pointed,,13.00,32.60,43.50,41.10,,,MUMBAI,2450.000,2450.000
226-10A,G,PB,1.30,G,VS2,EX,EX,VG,N,N,9.03 - 6.43 * 3.83,GIA,1347891914,,3953.000,33.000,4071.00,31.000,,,,59.60,65.00,,,,Faceted,NON,,,,,,GIA 1347891914,Additional pinpoints are not shown. Internal graining is not shown.,MUMBAI,3953.000,5138.900
231-161A,G,RBC,0.33,I,SI1,EX,EX,VG,F,N,4.41 - 4.38 * 2.74,GIA,7353214887,,870.000,42.000,900.00,40.000,,,,62.40,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.00,40.60,GIA 7353214887,,MUMBAI,870.000,287.100
228-77A,G,OV,0.40,G,SI2,G,EX,VG,F,N,5.72 - 3.92 * 2.62,GIA,1353001767,,840.000,40.000,868.00,38.000,,,,66.90,61.00,,,,Faceted,NON,,,,,,GIA 1353001767,,MUMBAI,840.000,336.000
241-48A,G,RBC,0.80,L,VS2,EX,EX,VG,N,N,5.94 - 5.87 * 3.72,GIA,7358098258,,1496.000,32.000,1540.00,30.000,,,,63.00,55.00,,,3.50,Faceted,NON,,17.00,36.50,43.00,40.60,GIA 7358098258,,MUMBAI,1496.000,1196.800
225-56C,G,PB,0.30,H,SI1,EX,EX,VG,N,N,5.96 - 3.67 * 2.33,GIA,6352258978,,720.000,40.000,744.00,38.000,,,,63.30,60.00,,,,Faceted,NON,,,,,,GIA 6352258978,,MUMBAI,720.000,216.000
216-505A,G,PB,0.30,G,SI2,VG,EX,G,N,N,5.62 - 3.85 * 2.35,GIA,2348767105,,708.000,41.000,732.00,39.000,,,,61.00,59.00,,,,Faceted,NON,,,,,,GIA 2348767105,,MUMBAI,708.000,212.400
222-286A,G,EM,0.50,E,VVS1,EX,EX,VG,N,N,5.28 - 3.78 * 2.64,GIA,2344719693,,1600.000,50.000,1664.00,48.000,,,,69.80,62.00,,,,Faceted,NON,,,,,,GIA 2344719693,,MUMBAI,1600.000,800.000
229-46A,G,RBC,0.31,I,VVS1,EX,EX,EX,N,N,4.34 - 4.31 * 2.72,GIA,6342940196,,1320.000,34.000,1360.00,32.000,,,,62.90,58.00,,,4.00,Faceted,NON,,14.50,34.50,44.00,41.60,GIA 6342940196,,MUMBAI,1320.000,409.200
222-160A,G,OV,0.54,J,SI2,EX,EX,VG,N,N,6.14 - 4.64 * 2.90,GIA,6341719727,,855.000,43.000,885.00,41.000,,,,62.60,58.00,,,,Faceted,NON,,,,,,GIA 6341719727,,MUMBAI,855.000,461.700
220-279A,G,CU,0.34,G,SI1,EX,EX,VG,N,N,4.19 - 3.72 * 2.54,GIA,7348783250,,871.000,33.000,897.00,31.000,,,,68.10,63.00,,,,Faceted,NON,,,,,,GIA 7348783250,,MUMBAI,871.000,296.140
225-154A,G,RBC,0.50,I,SI2,VG,EX,EX,F,N,5.12 - 5.10 * 3.12,GIA,6345910385,,1113.000,47.000,1155.00,45.000,,,,61.10,60.00,,,4.00,Faceted,NON,,12.50,32.50,44.50,41.80,GIA 6345910385,,MUMBAI,1113.000,556.500
220-272A,G,HR,0.30,E,SI2,EX,EX,VG,F,N,3.99 - 4.64 * 2.72,GIA,2346700973,,868.000,38.000,896.00,36.000,,,,58.60,61.00,,,,Faceted,NON,,,,,,GIA 2346700973,,MUMBAI,868.000,260.400
231-48A,G,RBC,0.30,E,VVS2,G,EX,VG,F,N,4.12 - 4.08 * 2.72,GIA,5356055894,,1392.000,42.000,1440.00,40.000,,,,66.30,58.00,,,6.50,Faceted,NON,,17.00,39.00,43.00,40.80,GIA 5356055894,,MUMBAI,1392.000,417.600
231-103A,G,RBC,0.35,G,VS2,EX,EX,EX,N,N,4.52 - 4.48 * 2.83,GIA,6341954936,,1482.000,22.000,1520.00,20.000,,,,63.00,57.00,,,3.50,Faceted,NON,,16.00,36.50,43.50,41.20,GIA 6341954936,,MUMBAI,1482.000,518.700
228-111A,G,RBC,0.36,I,VS1,EX,EX,EX,N,N,4.54 - 4.52 * 2.85,GIA,1358026878,,1296.000,28.000,1332.00,26.000,,,,62.90,57.00,,,3.50,Faceted,NON,,15.50,36.00,44.00,41.40,GIA 1358026878,,MUMBAI,1296.000,466.560
222-101A,G,RBC,0.30,I,SI2,VG,EX,VG,F,N,4.26 - 4.22 * 2.68,GIA,7341735305,,826.000,41.000,854.00,39.000,,,,63.30,58.00,,,5.00,Faceted,NON,,15.00,35.50,43.50,41.00,GIA 7341735305,,MUMBAI,826.000,247.800
221-307A,G,RBC,0.40,K,VS1,EX,EX,VG,N,N,4.72 - 4.66 * 2.94,GIA,5346766952,,928.000,42.000,960.00,40.000,,,,62.50,56.00,,,3.50,Faceted,NON,,16.50,36.50,42.50,40.60,GIA 5346766952,,MUMBAI,928.000,371.200
223-49A,G,OV,2.01,K,VS2,G,EX,VG,S,B,9.12 - 6.77 * 4.67,GIA,1345482500,,3060.000,40.000,3162.00,38.000,,,,69.00,57.00,,,,Faceted,NON,,,,,,GIA 1345482500,"Clouds, pinpoints and surface graining are not shown.",MUMBAI,3060.000,6150.600
237-10A,G,RBC,0.40,E,VS1,EX,EX,EX,F,N,4.70 - 4.67 * 2.96,GIA,2357001596,,1674.000,38.000,1728.00,36.000,,,,63.10,56.00,,,3.50,Faceted,NON,,16.50,36.50,43.00,41.00,GIA 2357001596,,MUMBAI,1674.000,669.600
221-375A,G,PB,0.33,G,IF,EX,VG,VG,N,N,6.27 - 3.99 * 2.26,GIA,6342827887,,1273.000,33.000,1311.00,31.000,,,,56.60,62.00,,,,Faceted,NON,,,,,,GIA 6342827887,,MUMBAI,1273.000,420.090
222-328A,G,RBC,0.30,K,VS2,G,VG,G,N,N,4.30 - 4.27 * 2.53,GIA,7346827316,,806.000,38.000,832.00,36.000,,,,59.10,62.00,,,5.00,Faceted,NON,,13.50,35.00,40.50,39.20,GIA 7346827316,,MUMBAI,806.000,241.800
228-74A,G,RBC,0.30,K,SI2,VG,EX,VG,F,N,4.20 - 4.15 * 2.70,GIA,2357056575,,594.000,46.000,616.00,44.000,,,,64.70,56.00,,,5.00,Faceted,NON,,17.50,38.50,42.00,40.20,GIA 2357056575,,MUMBAI,594.000,178.200
222-162A,G,RBC,0.35,G,SI1,EX,EX,EX,N,N,4.53 - 4.50 * 2.83,GIA,2346852546,,1326.000,22.000,1360.00,20.000,,,,62.80,56.00,,,3.50,Faceted,NON,,16.50,36.50,43.00,40.80,GIA 2346852546,,MUMBAI,1326.000,464.100
231-1A,G,RBC,0.33,F,VVS2,EX,EX,EX,N,N,4.43 - 4.40 * 2.78,GIA,7356080164,,1748.000,24.000,1794.00,22.000,,,,63.10,57.00,,,3.50,Faceted,NON,,15.50,36.00,44.00,41.40,GIA 7356080164,,MUMBAI,1748.000,576.840
235-73A,G,RBC,0.50,L,VS2,EX,EX,EX,S,B,5.09 - 5.06 * 3.18,GIA,1353175888,,884.000,48.000,918.00,46.000,,,,62.50,58.00,,,3.50,Faceted,NON,,15.50,36.50,43.50,41.00,GIA 1353175888,,MUMBAI,884.000,442.000
225-26A,G,OV,0.81,F,VVS1,VG,EX,EX,N,N,7.25 - 5.22 * 3.21,GIA,1358022749,,2948.000,33.000,3036.00,31.000,,,,61.40,61.00,,,,Faceted,NON,,,,,,GIA 1358022749,,MUMBAI,2948.000,2387.880
227-56A,G,RBC,1.01,K,SI2,EX,EX,EX,F,N,6.49 - 6.46 * 3.99,GIA,7348787599,,2124.000,41.000,2196.00,39.000,,,,61.70,54.00,,,3.50,Faceted,NON,,15.00,33.50,43.00,41.00,GIA 7348787599,"Additional twinning wisps, clouds, pinpoints and surface graining are not shown.",MUMBAI,2124.000,2145.240
222-110A,G,OV,0.51,E,VVS1,G,EX,VG,N,N,5.83 - 4.42 * 2.82,GIA,2347782772,,1536.000,52.000,1600.00,50.000,,,,63.70,54.00,,,,Faceted,NON,,,,,,GIA 2347782772,,MUMBAI,1536.000,783.360
221-404A,G,OV,0.40,H,SI1,EX,EX,VG,F,N,5.73 - 4.09 * 2.55,GIA,6341693617,,990.000,34.000,1020.00,32.000,,,,62.30,59.00,,,,Faceted,NON,,,,,,GIA 6341693617,,MUMBAI,990.000,396.000
241-26A,G,RBC,0.61,K,VS2,EX,EX,EX,N,N,5.49 - 5.47 * 3.32,GIA,2358096728,,1360.000,32.000,1400.00,30.000,,,,60.70,60.00,,,4.00,Faceted,NON,,12.50,32.50,44.00,41.40,GIA 2358096728,,MUMBAI,1360.000,829.600
228-152A,G,RBC,0.30,J,VVS2,EX,EX,VG,N,N,4.28 - 4.23 * 2.69,GIA,7353085271,,867.000,49.000,901.00,47.000,,,,63.30,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 7353085271,,MUMBAI,867.000,260.100
229-206A,G,RBC,0.30,D,SI1,G,EX,VG,N,N,4.11 - 4.07 * 2.73,GIA,1357040666,,940.000,53.000,980.00,51.000,,,,66.60,55.00,,,6.50,Faceted,NON,,18.00,39.00,41.50,40.00,GIA 1357040666,,MUMBAI,940.000,282.000
235-83A,G,RBC,0.56,L,VVS2,EX,EX,EX,S,B,5.31 - 5.28 * 3.28,GIA,2356143654,,912.000,52.000,950.00,50.000,,,,61.90,59.00,,,4.00,Faceted,NON,,14.00,34.50,44.00,41.40,GIA 2356143654,,MUMBAI,912.000,510.720
214-29C,G,MQ,0.60,I,VVS2,EX,EX,VG,N,N,8.72 - 4.56 * 2.63,GIA,6345483553,,1302.000,38.000,1344.00,36.000,,,,57.60,55.00,,,,Faceted,NON,,,,,,GIA 6345483553,,MUMBAI,1302.000,781.200
221-183A,G,RBC,0.32,H,VVS1,EX,VG,EX,N,N,4.38 - 4.36 * 2.74,GIA,1343766428,,1365.000,35.000,1407.00,33.000,,,,62.70,56.00,,,4.00,Faceted,NON,,15.00,34.50,44.00,41.40,GIA 1343766428,,MUMBAI,1365.000,436.800
231-258A,G,RBC,0.30,K,SI1,F,EX,G,N,N,4.13 - 4.08 * 2.74,GIA,7356214816,,588.000,51.000,612.00,49.000,,,,66.80,57.00,,,7.50,Faceted,NON,,15.00,35.50,44.50,41.80,GIA 7356214816,,MUMBAI,588.000,176.400
214-121A,G,RBC,1.00,G,SI2,EX,EX,VG,F,N,6.35 - 6.41 * 3.95,IGI,407973605,,2128.000,62.000,2240.00,60.000,,,,61.80,56.50,,,4.50,Faceted,Pointed,,14.00,32.90,43.50,41.00,,,MUMBAI,2128.000,2128.000
228-280A,G,PR,0.30,F,VVS2,VG,EX,VG,F,N,3.59 - 3.52 * 2.62,GIA,2347914772,,884.000,48.000,918.00,46.000,,,,74.60,69.00,,,,Faceted,NON,,,,,,GIA 2347914772,,MUMBAI,884.000,265.200
217-40A,G,RBC,1.01,"K,FB",SI2,EX,EX,EX,F,N,6.49 - 6.52 * 3.85,IGI,407901083,,1120.000,60.000,1176.00,58.000,"K,FB",,,59.20,60.50,,,3.80,Faceted,Pointed,,13.00,33.30,42.50,40.40,,,MUMBAI,1120.000,1131.200
229-252A,G,RBC,0.32,D,VVS1,EX,EX,EX,N,N,4.41 - 4.39 * 2.74,GIA,6351160355,,2016.000,28.000,2072.00,26.000,,,,62.30,56.00,,,3.50,Faceted,NON,,15.50,35.00,43.00,41.00,GIA 6351160355,,MUMBAI,2016.000,645.120
211-143B,G,OV,0.80,F,VS1,VG,EX,G,N,N,7.09 - 5.36 * 3.24,GIA,6341110388,,2560.000,36.000,2640.00,34.000,,,,60.50,59.00,,,,Faceted,NON,,,,,,GIA 6341110388,,MUMBAI,2560.000,2048.000
237-30A,G,EM,0.54,E,VS1,EX,EX,VG,M,B,5.22 - 3.93 * 2.64,GIA,6351056167,,1372.000,51.000,1428.00,49.000,,,,67.20,61.00,,,,Faceted,NON,,,,,,GIA 6351056167,,MUMBAI,1372.000,740.880
232-57A,G,RBC,0.30,I,SI1,F,EX,VG,N,N,4.05 - 4.00 * 2.83,GIA,1353230045,,735.000,51.000,765.00,49.000,,,,70.30,56.00,,,7.50,Faceted,NON,,17.50,39.00,45.00,42.00,GIA 1353230045 ,,MUMBAI,735.000,220.500
